Date,Open,High,Low,Close*,Adj Close**,Volume
1980-01-02,0,108.43,105.29,105.76,105.76,"40,610,000"
1980-01-03,0,106.08,103.26,105.22,105.22,"50,480,000"
1980-01-04,0,107.08,105.09,106.52,106.52,"39,130,000"
1980-01-07,0,107.8,105.8,106.81,106.81,"44,500,000"
1980-01-08,0,109.29,106.29,108.95,108.95,"53,390,000"
1980-01-09,0,111.09,108.41,109.05,109.05,"65,260,000"
1980-01-10,0,110.86,108.47,109.89,109.89,"55,980,000"
1980-01-11,0,111.16,108.89,109.92,109.92,"52,890,000"
1980-01-14,0,111.44,109.34,110.38,110.38,"52,930,000"
1980-01-15,0,111.93,109.45,111.14,111.14,"52,320,000"
1980-01-16,0,112.9,110.38,111.05,111.05,"67,700,000"
1980-01-17,0,112.01,109.81,110.7,110.7,"54,170,000"
1980-01-18,0,111.74,109.88,111.07,111.07,"47,150,000"
1980-01-21,0,112.9,110.66,112.1,112.1,"48,040,000"
1980-01-22,0,113.1,110.92,111.51,111.51,"50,620,000"
1980-01-23,0,113.93,110.93,113.44,113.44,"50,730,000"
1980-01-24,0,115.27,112.95,113.7,113.7,"59,070,000"
1980-01-25,0,114.45,112.36,113.61,113.61,"47,100,000"
1980-01-28,0,115.65,112.93,114.85,114.85,"53,620,000"
1980-01-29,0,115.77,113.03,114.07,114.07,"55,480,000"
1980-01-30,0,115.85,113.37,115.2,115.2,"51,170,000"
1980-01-31,0,117.17,113.78,114.16,114.16,"65,900,000"
1980-02-01,0,115.54,113.13,115.12,115.12,"46,610,000"
1980-02-04,0,116.01,113.83,114.37,114.37,"43,070,000"
1980-02-05,0,115.25,112.15,114.66,114.66,"41,880,000"
1980-02-06,0,116.57,113.65,115.72,115.72,"51,950,000"
1980-02-07,0,117.87,115.22,116.28,116.28,"57,690,000"
1980-02-08,0,118.66,115.72,117.95,117.95,"57,860,000"
1980-02-11,0,119.05,116.31,117.12,117.12,"58,660,000"
1980-02-12,0,118.41,115.75,117.9,117.9,"48,090,000"
1980-02-13,0,120.22,117.57,118.44,118.44,"65,230,000"
1980-02-14,0,119.3,116.04,116.72,116.72,"50,540,000"
1980-02-15,0,116.7,114.12,115.41,115.41,"46,680,000"
1980-02-19,0,115.67,113.35,114.6,114.6,"39,480,000"
1980-02-20,0,117.18,114.06,116.47,116.47,"44,340,000"
1980-02-21,0,117.9,114.44,115.28,115.28,"51,530,000"
1980-02-22,0,116.46,113.43,115.04,115.04,"48,210,000"
1980-02-25,0,114.93,112.62,113.33,113.33,"39,140,000"
1980-02-26,0,114.76,112.3,113.98,113.98,"40,000,000"
1980-02-27,0,115.12,111.91,112.38,112.38,"46,430,000"
1980-02-28,0,113.7,111.33,112.35,112.35,"40,330,000"
1980-02-29,0,114.12,111.77,113.66,113.66,"38,810,000"
1980-03-03,0,114.34,112.01,112.5,112.5,"38,690,000"
1980-03-04,0,113.41,110.83,112.78,112.78,"44,310,000"
1980-03-05,0,113.94,110.58,111.13,111.13,"49,240,000"
1980-03-06,0,111.29,107.85,108.65,108.65,"49,610,000"
1980-03-07,0,108.96,105.99,106.9,106.9,"50,950,000"
1980-03-10,0,107.86,104.92,106.51,106.51,"43,750,000"
1980-03-11,0,108.54,106.18,107.78,107.78,"41,350,000"
1980-03-12,0,108.4,105.42,106.87,106.87,"37,990,000"
1980-03-13,0,107.55,105.1,105.62,105.62,"33,070,000"
1980-03-14,0,106.49,104.01,105.43,105.43,"35,180,000"
1980-03-17,0,105.23,101.82,102.26,102.26,"37,020,000"
1980-03-18,0,104.71,101.14,104.1,104.1,"47,340,000"
1980-03-19,0,105.72,103.35,104.31,104.31,"36,520,000"
1980-03-20,0,105.17,102.52,103.12,103.12,"32,580,000"
1980-03-21,0,103.73,101.55,102.31,102.31,"32,220,000"
1980-03-24,0,102.18,98.88,99.28,99.28,"39,230,000"
1980-03-25,0,100.58,97.89,99.19,99.19,"43,790,000"
1980-03-26,0,101.22,98.1,98.68,98.68,"37,370,000"
1980-03-27,0,99.58,94.23,98.22,98.22,"63,680,000"
1980-03-28,0,101.43,97.72,100.68,100.68,"46,720,000"
1980-03-31,0,102.65,100.02,102.09,102.09,"35,840,000"
1980-04-01,0,103.28,100.85,102.18,102.18,"32,230,000"
1980-04-02,0,103.87,101.45,102.68,102.68,"35,210,000"
1980-04-03,0,103.34,101.31,102.15,102.15,"27,970,000"
1980-04-07,0,102.27,99.73,100.19,100.19,"29,130,000"
1980-04-08,0,101.88,99.23,101.2,101.2,"31,700,000"
1980-04-09,0,103.6,101.01,103.11,103.11,"33,020,000"
1980-04-10,0,105,102.81,104.08,104.08,"33,940,000"
1980-04-11,0,105.15,103.2,103.79,103.79,"29,960,000"
1980-04-14,0,103.92,102.08,102.84,102.84,"23,060,000"
1980-04-15,0,103.94,101.85,102.63,102.63,"26,670,000"
1980-04-16,0,104.42,101.13,101.54,101.54,"39,730,000"
1980-04-17,0,102.21,100.12,101.05,101.05,"32,770,000"
1980-04-18,0,102.07,99.97,100.55,100.55,"26,880,000"
1980-04-21,0,101.26,98.95,99.8,99.8,"27,560,000"
1980-04-22,0,104.02,100.81,103.43,103.43,"47,920,000"
1980-04-23,0,105.11,102.81,103.73,103.73,"42,620,000"
1980-04-24,0,105.43,102.93,104.4,104.4,"35,790,000"
1980-04-25,0,105.57,103.02,105.16,105.16,"28,590,000"
1980-04-28,0,106.79,104.64,105.64,105.64,"30,600,000"
1980-04-29,0,106.7,104.86,105.86,105.86,"27,940,000"
1980-04-30,0,106.72,104.5,106.29,106.29,"30,850,000"
1980-05-01,0,106.86,104.72,105.46,105.46,"32,480,000"
1980-05-02,0,106.25,104.61,105.58,105.58,"28,040,000"
1980-05-05,0,106.83,104.64,106.38,106.38,"34,090,000"
1980-05-06,0,107.83,105.36,106.25,106.25,"40,160,000"
1980-05-07,0,108.12,105.83,107.18,107.18,"42,600,000"
1980-05-08,0,108.02,105.5,106.13,106.13,"39,280,000"
1980-05-09,0,106.2,104.18,104.72,104.72,"30,280,000"
1980-05-12,0,105.48,103.5,104.78,104.78,"28,220,000"
1980-05-13,0,106.76,104.44,106.3,106.3,"35,460,000"
1980-05-14,0,107.89,106,106.85,106.85,"40,840,000"
1980-05-15,0,107.99,106.07,106.99,106.99,"41,120,000"
1980-05-16,0,107.89,106.25,107.35,107.35,"31,710,000"
1980-05-19,0,108.43,106.51,107.67,107.67,"30,970,000"
1980-05-20,0,108.39,106.75,107.62,107.62,"31,800,000"
1980-05-21,0,108.31,106.54,107.72,107.72,"34,830,000"
1980-05-22,0,109.73,107.34,109.01,109.01,"41,040,000"
1980-05-23,0,111.37,109.01,110.62,110.62,"45,790,000"
1980-05-27,0,112.3,110.35,111.4,111.4,"40,810,000"
1980-05-28,0,112.72,110.42,112.06,112.06,"38,580,000"
1980-05-29,0,112.64,109.86,110.27,110.27,"42,000,000"
1980-05-30,0,111.55,108.87,111.24,111.24,"34,820,000"
1980-06-02,0,112.15,110.06,110.76,110.76,"32,710,000"
1980-06-03,0,111.63,109.77,110.51,110.51,"33,150,000"
1980-06-04,0,113.45,110.22,112.61,112.61,"44,180,000"
1980-06-05,0,114.38,111.89,112.78,112.78,"49,070,000"
1980-06-06,0,114.01,112.11,113.2,113.2,"37,230,000"
1980-06-09,0,114.51,112.68,113.71,113.71,"36,820,000"
1980-06-10,0,115.5,113.17,114.66,114.66,"42,030,000"
1980-06-11,0,116.64,114.22,116.02,116.02,"43,800,000"
1980-06-12,0,117.01,114.28,115.52,115.52,"47,300,000"
1980-06-13,0,116.94,114.67,115.81,115.81,"41,880,000"
1980-06-16,0,116.8,114.78,116.09,116.09,"36,190,000"
1980-06-17,0,117.16,115.13,116.03,116.03,"41,990,000"
1980-06-18,0,116.84,114.77,116.26,116.26,"41,960,000"
1980-06-19,0,116.81,114.36,114.66,114.66,"38,280,000"
1980-06-20,0,114.9,113.12,114.06,114.06,"36,530,000"
1980-06-23,0,115.28,113.35,114.51,114.51,"34,180,000"
1980-06-24,0,115.75,113.76,115.14,115.14,"37,730,000"
1980-06-25,0,117.37,115.07,116.72,116.72,"46,500,000"
1980-06-26,0,117.98,115.58,116.19,116.19,"45,110,000"
1980-06-27,0,116.93,115.06,116,116,"33,110,000"
1980-06-30,0,116.04,113.55,114.24,114.24,"29,910,000"
1980-07-01,0,115.45,113.54,114.93,114.93,"34,340,000"
1980-07-02,0,116.44,114.36,115.68,115.68,"42,950,000"
1980-07-03,0,117.8,115.49,117.46,117.46,"47,230,000"
1980-07-07,0,118.85,116.96,118.29,118.29,"42,540,000"
1980-07-08,0,119.11,117.07,117.84,117.84,"45,830,000"
1980-07-09,0,119.52,117.1,117.98,117.98,"52,010,000"
1980-07-10,0,118.57,116.38,116.95,116.95,"43,730,000"
1980-07-11,0,118.38,116.29,117.84,117.84,"38,310,000"
1980-07-14,0,120.37,117.45,120.01,120.01,"45,500,000"
1980-07-15,0,121.56,118.85,119.3,119.3,"60,920,000"
1980-07-16,0,120.87,118.54,119.63,119.63,"49,140,000"
1980-07-17,0,121.84,119.43,121.44,121.44,"48,850,000"
1980-07-18,0,123.19,120.88,122.04,122.04,"58,040,000"
1980-07-21,0,123.15,120.85,122.51,122.51,"42,750,000"
1980-07-22,0,123.9,121.38,122.19,122.19,"52,230,000"
1980-07-23,0,123.26,120.93,121.93,121.93,"45,890,000"
1980-07-24,0,122.98,120.83,121.79,121.79,"42,420,000"
1980-07-25,0,121.96,119.94,120.78,120.78,"36,250,000"
1980-07-28,0,122.02,119.78,121.43,121.43,"35,330,000"
1980-07-29,0,122.99,120.76,122.4,122.4,"44,840,000"
1980-07-30,0,123.93,121.16,122.23,122.23,"58,060,000"
1980-07-31,0,122.34,119.4,121.67,121.67,"54,610,000"
1980-08-01,0,122.38,120.08,121.21,121.21,"46,440,000"
1980-08-04,0,121.63,119.42,120.98,120.98,"41,550,000"
1980-08-05,0,122.09,119.96,120.74,120.74,"45,510,000"
1980-08-06,0,122.01,119.94,121.55,121.55,"45,050,000"
1980-08-07,0,123.84,121.66,123.3,123.3,"61,820,000"
1980-08-08,0,125.23,122.82,123.61,123.61,"58,860,000"
1980-08-11,0,125.31,122.85,124.78,124.78,"44,690,000"
1980-08-12,0,125.78,123.29,123.79,123.79,"52,050,000"
1980-08-13,0,124.67,122.49,123.28,123.28,"44,350,000"
1980-08-14,0,125.62,122.68,125.25,125.25,"47,700,000"
1980-08-15,0,126.61,124.57,125.72,125.72,"47,780,000"
1980-08-18,0,125.28,122.82,123.39,123.39,"41,890,000"
1980-08-19,0,124,121.97,122.6,122.6,"41,930,000"
1980-08-20,0,124.27,121.91,123.77,123.77,"42,560,000"
1980-08-21,0,125.99,123.61,125.46,125.46,"50,770,000"
1980-08-22,0,127.78,125.18,126.02,126.02,"58,210,000"
1980-08-25,0,126.28,124.65,125.16,125.16,"35,400,000"
1980-08-26,0,126.29,124.01,124.84,124.84,"41,700,000"
1980-08-27,0,124.98,122.93,123.52,123.52,"44,000,000"
1980-08-28,0,123.91,121.61,122.08,122.08,"39,890,000"
1980-08-29,0,123.01,121.06,122.38,122.38,"33,510,000"
1980-09-02,0,124.36,121.79,123.74,123.74,"35,290,000"
1980-09-03,0,126.43,123.87,126.12,126.12,"52,370,000"
1980-09-04,0,127.7,124.42,125.42,125.42,"59,030,000"
1980-09-05,0,126.12,124.08,124.88,124.88,"37,990,000"
1980-09-08,0,125.67,122.78,123.31,123.31,"42,050,000"
1980-09-09,0,124.52,121.94,124.07,124.07,"44,460,000"
