Date,NY_cgas,US_cgas,
1986-06-02,0.468,0.445,
1986-06-03,0.436,0.418,
1986-06-04,0.418,0.398,
1986-06-05,0.431,0.415,
1986-06-06,0.421,0.403,
1986-06-09,0.409,0.398,
1986-06-10,0.405,0.395,
1986-06-11,0.431,0.42,
1986-06-12,0.436,0.425,
1986-06-13,0.445,0.434,
1986-06-16,0.429,0.419,
1986-06-17,0.422,0.418,
1986-06-18,0.411,0.406,
1986-06-19,0.415,0.408,
1986-06-20,0.406,0.408,
1986-06-23,0.406,0.395,
1986-06-24,0.409,0.393,
1986-06-25,0.419,0.411,
1986-06-26,0.405,0.394,
1986-06-27,0.405,0.4,
1986-06-30,0.399,0.385,
1986-07-01,0.391,0.384,
1986-07-02,0.377,0.369,
1986-07-03,0.373,0.366,
1986-07-07,0.354,0.345,
1986-07-08,0.35,0.349,
1986-07-09,0.341,0.339,
1986-07-10,0.35,0.345,
1986-07-11,0.334,0.331,
1986-07-14,0.319,0.316,
1986-07-15,0.338,0.333,
1986-07-16,0.344,0.343,
1986-07-17,0.335,0.331,
1986-07-18,0.344,0.335,
1986-07-21,0.349,0.339,
1986-07-22,0.328,0.325,
1986-07-23,0.335,0.319,
1986-07-24,0.33,0.319,
1986-07-25,0.321,0.31,
1986-07-28,0.308,0.305,
1986-07-29,0.315,0.316,
1986-07-30,0.329,0.321,
1986-07-31,0.309,0.305,
1986-08-01,0.318,0.311,
1986-08-04,0.358,0.355,
1986-08-05,0.401,0.39,
1986-08-06,0.41,0.396,
1986-08-07,0.42,0.409,
1986-08-08,0.411,0.401,
1986-08-11,0.413,0.404,
1986-08-12,0.436,0.433,
1986-08-13,0.441,0.431,
1986-08-14,0.441,0.43,
1986-08-15,0.446,0.439,
1986-08-18,0.45,0.446,
1986-08-19,0.436,0.426,
1986-08-20,0.446,0.435,
1986-08-21,0.446,0.438,
1986-08-22,0.443,0.439,
1986-08-25,0.443,0.43,
1986-08-26,0.448,0.426,
1986-08-27,0.44,0.426,
1986-08-28,0.446,0.434,
1986-08-29,0.453,0.439,
1986-09-02,0.459,0.444,
1986-09-03,0.454,0.436,
1986-09-04,0.457,0.441,
1986-09-05,0.46,0.444,
1986-09-08,0.441,0.431,
1986-09-09,0.429,0.416,
1986-09-10,0.417,0.4,
1986-09-11,0.419,0.4,
1986-09-12,0.424,0.401,
1986-09-15,0.413,0.385,
1986-09-16,0.398,0.378,
1986-09-17,0.406,0.376,
1986-09-18,0.412,0.379,
1986-09-19,0.412,0.379,
1986-09-22,0.401,0.369,
1986-09-23,0.406,0.376,
1986-09-24,0.406,0.378,
1986-09-25,0.397,0.376,
1986-09-26,0.399,0.381,
1986-09-29,0.402,0.385,
1986-09-30,0.401,0.385,
1986-10-01,0.416,0.401,
1986-10-02,0.426,0.409,
1986-10-03,0.414,0.398,
1986-10-06,0.408,0.395,
1986-10-07,0.423,0.412,
1986-10-08,0.426,0.408,
1986-10-09,0.421,0.404,
1986-10-10,0.416,0.398,
1986-10-14,0.406,0.388,
1986-10-15,0.418,0.4,
1986-10-16,0.411,0.399,
1986-10-17,0.415,0.402,
1986-10-20,0.422,0.411,
1986-10-21,0.42,0.408,
1986-10-22,0.407,0.402,
1986-10-23,0.406,0.399,
1986-10-24,0.412,0.405,
1986-10-27,0.396,0.389,
1986-10-28,0.389,0.394,
1986-10-29,0.372,0.382,
1986-10-30,0.395,0.395,
1986-10-31,0.401,0.406,
1986-11-03,0.396,0.394,
1986-11-04,0.407,0.409,
1986-11-05,0.406,0.406,
1986-11-06,0.409,0.411,
1986-11-07,0.406,0.406,
1986-11-10,0.41,0.409,
1986-11-11,0.413,0.411,
1986-11-12,0.411,0.414,
1986-11-13,0.416,0.419,
1986-11-14,0.419,0.416,
1986-11-17,0.417,0.414,
1986-11-18,0.414,0.413,
1986-11-19,0.419,0.416,
1986-11-20,0.41,0.41,
1986-11-21,0.412,0.411,
1986-11-24,0.404,0.405,
1986-11-25,0.409,0.402,
1986-11-26,0.412,0.407,
1986-11-28,0.412,0.407,
1986-12-01,0.414,0.409,
1986-12-02,0.417,0.408,
1986-12-03,0.419,0.403,
1986-12-04,0.419,0.4,
1986-12-05,0.418,0.4,
1986-12-08,0.41,0.396,
1986-12-09,0.41,0.393,
1986-12-10,0.416,0.396,
1986-12-11,0.427,0.405,
1986-12-12,0.432,0.41,
1986-12-15,0.438,0.414,
1986-12-16,0.43,0.406,
1986-12-17,0.429,0.395,
1986-12-18,0.434,0.407,
1986-12-19,0.444,0.416,
1986-12-22,0.457,0.428,
1986-12-23,0.454,0.422,
1986-12-24,0.456,0.425,
1986-12-29,0.464,0.439,
1986-12-30,0.457,0.455,
1986-12-31,0.476,0.47,
1987-01-02,0.484,0.474,
1987-01-05,0.475,0.466,
1987-01-06,0.484,0.476,
1987-01-07,0.483,0.476,
1987-01-08,0.493,0.487,
1987-01-09,0.506,0.502,
1987-01-12,0.515,0.514,
1987-01-13,0.501,0.5,
1987-01-14,0.505,0.503,
1987-01-15,0.501,0.496,
1987-01-16,0.492,0.489,
1987-01-19,0.484,0.494,
1987-01-20,0.495,0.503,
1987-01-21,0.486,0.491,
1987-01-22,0.491,0.499,
1987-01-23,0.481,0.493,
1987-01-26,0.474,0.487,
1987-01-27,0.474,0.491,
1987-01-28,0.471,0.49,
1987-01-29,0.482,0.501,
1987-01-30,0.488,0.504,
1987-02-02,0.49,0.496,
1987-02-03,0.488,0.495,
1987-02-04,0.495,0.495,
1987-02-05,0.506,0.51,
1987-02-06,0.501,0.508,
1987-02-09,0.498,0.501,
1987-02-10,0.496,0.5,
1987-02-11,0.48,0.488,
1987-02-12,0.481,0.487,
1987-02-13,0.473,0.481,
1987-02-17,0.475,0.477,
1987-02-18,0.466,0.469,
1987-02-19,0.464,0.464,
1987-02-20,0.473,0.473,
1987-02-23,0.455,0.459,
1987-02-24,0.445,0.454,
1987-02-25,0.438,0.454,
1987-02-26,0.444,0.47,
1987-02-27,0.445,0.459,
1987-03-02,0.457,0.459,
1987-03-03,0.486,0.487,
1987-03-04,0.488,0.485,
1987-03-05,0.504,0.499,
1987-03-06,0.509,0.504,
1987-03-09,0.503,0.5,
1987-03-10,0.506,0.514,
1987-03-11,0.513,0.509,
1987-03-12,0.512,0.506,
1987-03-13,0.515,0.51,
1987-03-16,0.518,0.51,
1987-03-17,0.529,0.519,
1987-03-18,0.511,0.507,
1987-03-19,0.512,0.506,
1987-03-20,0.51,0.507,
1987-03-23,0.517,0.511,
1987-03-24,0.519,0.516,
1987-03-25,0.523,0.516,
1987-03-26,0.521,0.52,
1987-03-27,0.516,0.516,
1987-03-30,0.511,0.514,
1987-03-31,0.518,0.519,
1987-04-01,0.521,0.516,
1987-04-02,0.519,0.514,
1987-04-03,0.516,0.511,
1987-04-06,0.516,0.513,
1987-04-07,0.514,0.509,
1987-04-08,0.502,0.507,
1987-04-09,0.499,0.503,
1987-04-10,0.491,0.493,
1987-04-13,0.493,0.495,
1987-04-14,0.488,0.491,
1987-04-15,0.494,0.497,
1987-04-16,0.492,0.494,
1987-04-20,0.492,0.497,
1987-04-21,0.495,0.497,
1987-04-22,0.493,0.496,
1987-04-23,0.5,0.503,
1987-04-24,0.511,0.511,
1987-04-27,0.517,0.515,
1987-04-28,0.512,0.515,
1987-04-29,0.504,0.509,
1987-04-30,0.516,0.509,
1987-05-01,0.517,0.51,
1987-05-04,0.516,0.51,
1987-05-05,0.524,0.521,
1987-05-06,0.531,0.521,
1987-05-07,0.528,0.519,
1987-05-08,0.53,0.525,
1987-05-11,0.538,0.529,
1987-05-12,0.541,0.531,
1987-05-13,0.543,0.53,
1987-05-14,0.547,0.535,
1987-05-15,0.557,0.539,
1987-05-18,0.554,0.538,
1987-05-19,0.554,0.536,
1987-05-20,0.543,0.529,
1987-05-21,0.55,0.534,
1987-05-22,0.552,0.535,
1987-05-26,0.551,0.533,
1987-05-27,0.551,0.532,
1987-05-28,0.551,0.529,
1987-05-29,0.552,0.531,
1987-06-01,0.548,0.531,
1987-06-02,0.552,0.529,
1987-06-03,0.559,0.534,
1987-06-04,0.557,0.535,
1987-06-05,0.559,0.533,
1987-06-08,0.566,0.545,
1987-06-09,0.568,0.545,
1987-06-10,0.569,0.541,
1987-06-11,0.562,0.54,
1987-06-12,0.561,0.539,
1987-06-15,0.563,0.539,
1987-06-16,0.563,0.538,
1987-06-17,0.559,0.534,
1987-06-18,0.561,0.538,
1987-06-19,0.558,0.535,
1987-06-22,0.545,0.521,
1987-06-23,0.544,0.524,
1987-06-24,0.547,0.524,
1987-06-25,0.545,0.523,
1987-06-26,0.562,0.54,
1987-06-29,0.559,0.54,
1987-06-30,0.555,0.536,
1987-07-01,0.553,0.539,
1987-07-02,0.556,0.541,
1987-07-06,0.559,0.546,
1987-07-07,0.553,0.541,
1987-07-08,0.554,0.542,
1987-07-09,0.557,0.548,
1987-07-10,0.558,0.546,
1987-07-13,0.551,0.539,
1987-07-14,0.558,0.549,
1987-07-15,0.567,0.554,
1987-07-16,0.565,0.559,
1987-07-17,0.571,0.564,
1987-07-20,0.571,0.562,
1987-07-21,0.556,0.56,
1987-07-22,0.556,0.56,
1987-07-23,0.555,0.557,
1987-07-24,0.545,0.549,
1987-07-27,0.544,0.554,
1987-07-28,0.558,0.563,
1987-07-29,0.557,0.564,
1987-07-30,0.549,0.559,
1987-07-31,0.544,0.549,
1987-08-03,0.555,0.558,
1987-08-04,0.557,0.54,
1987-08-05,0.548,0.556,
1987-08-06,0.545,0.559,
1987-08-07,0.544,0.559,
1987-08-10,0.541,0.551,
1987-08-11,0.546,0.556,
1987-08-12,0.543,0.555,
1987-08-13,0.539,0.542,
1987-08-14,0.53,0.53,
1987-08-17,0.515,0.516,
1987-08-18,0.513,0.52,
1987-08-19,0.506,0.521,
1987-08-20,0.503,0.525,
1987-08-21,0.496,0.516,
1987-08-24,0.491,0.514,
1987-08-25,0.489,0.485,
1987-08-26,0.507,0.514,
1987-08-27,0.511,0.511,
1987-08-28,0.504,0.504,
1987-08-31,0.504,0.507,
1987-09-01,0.494,0.503,
1987-09-02,0.506,0.5,
1987-09-03,0.51,0.496,
