Date,NY_diesel,US__diesel,LA_diesel,
1996-04-17,,,0.905,
1996-04-18,,,0.93,
1996-04-19,,,0.94,
1996-04-22,,,0.96,
1996-04-23,,,0.955,
1996-04-24,,,0.96,
1996-04-25,,,0.96,
1996-04-26,,,0.955,
1996-04-29,,,0.955,
1996-04-30,,,0.98,
1996-05-01,,,0.945,
1996-05-02,,,0.98,
1996-05-03,,,0.975,
1996-05-06,,,0.97,
1996-05-07,,,0.945,
1996-05-08,,,0.945,
1996-05-09,,,0.93,
1996-05-10,,,0.91,
1996-05-13,,,0.845,
1996-05-14,,,0.845,
1996-05-15,,,0.81,
1996-05-16,,,0.785,
1996-05-17,,,0.785,
1996-05-20,,,0.8,
1996-05-21,,,0.8,
1996-05-22,,,0.815,
1996-05-23,,,0.875,
1996-05-24,,,0.83,
1996-05-28,,,0.83,
1996-05-29,,,0.853,
1996-05-30,,,0.833,
1996-05-31,,,0.845,
1996-06-03,,,0.845,
1996-06-04,,,0.845,
1996-06-05,,,0.83,
1996-06-06,,,0.825,
1996-06-07,,,0.795,
1996-06-10,,,0.785,
1996-06-11,,,0.778,
1996-06-12,,,0.735,
1996-06-13,,,0.735,
1996-06-14,,,0.715,
1996-06-17,,,0.675,
1996-06-18,,,0.685,
1996-06-19,,,0.66,
1996-06-20,,,0.665,
1996-06-21,,,0.705,
1996-06-24,,,0.71,
1996-06-25,,,0.73,
1996-06-26,,,0.73,
1996-06-27,,,0.728,
1996-06-28,,,0.73,
1996-07-01,,,0.725,
1996-07-02,,,0.725,
1996-07-03,,,0.74,
1996-07-05,,,0.74,
1996-07-08,,,0.735,
1996-07-09,,,0.74,
1996-07-10,,,0.73,
1996-07-11,,,0.73,
1996-07-12,,,0.715,
1996-07-15,,,0.705,
1996-07-16,,,0.69,
1996-07-17,,,0.665,
1996-07-18,,,0.665,
1996-07-19,,,0.645,
1996-07-22,,,0.64,
1996-07-23,,,0.653,
1996-07-24,,,0.665,
1996-07-25,,,0.67,
1996-07-26,,,0.655,
1996-07-29,,,0.658,
1996-07-30,,,0.67,
1996-07-31,,,0.666,
1996-08-02,,,0.695,
1996-08-05,,,0.693,
1996-08-06,,,0.693,
1996-08-07,,,0.695,
1996-08-08,,,0.695,
1996-08-09,,,0.695,
1996-08-12,,,0.705,
1996-08-13,,,0.71,
1996-08-14,,,0.695,
1996-08-15,,,0.698,
1996-08-16,,,0.7,
1996-08-19,,,0.7,
1996-08-20,,,0.7,
1996-08-21,,,0.713,
1996-08-22,,,0.723,
1996-08-23,,,0.715,
1996-08-26,,,0.715,
1996-08-27,,,0.715,
1996-08-28,,,0.715,
1996-08-29,,,0.715,
1996-08-30,,,0.73,
1996-09-03,,,0.74,
1996-09-04,,,0.765,
1996-09-05,,,0.763,
1996-09-06,,,0.765,
1996-09-09,,,0.765,
1996-09-10,,,0.783,
1996-09-11,,,0.785,
1996-09-12,,,0.785,
1996-09-13,,,0.79,
1996-09-16,,,0.78,
1996-09-17,,,0.775,
1996-09-18,,,0.765,
1996-09-19,,,0.765,
1996-09-20,,,0.743,
1996-09-23,,,0.745,
1996-09-24,,,0.745,
1996-09-25,,,0.765,
1996-09-26,,,0.785,
1996-09-27,,,0.785,
1996-09-30,,,0.775,
1996-10-01,,,0.81,
1996-10-02,,,0.805,
1996-10-03,,,0.825,
1996-10-04,,,0.825,
1996-10-07,,,0.825,
1996-10-08,,,0.843,
1996-10-09,,,0.853,
1996-10-10,,,0.835,
1996-10-11,,,0.835,
1996-10-14,,,0.835,
1996-10-15,,,0.835,
1996-10-16,,,0.835,
1996-10-17,,,0.785,
1996-10-18,,,0.78,
1996-10-21,,,0.78,
1996-10-22,,,0.805,
1996-10-23,,,0.805,
1996-10-24,,,0.808,
1996-10-25,,,0.825,
1996-10-28,,,0.825,
1996-10-29,,,0.825,
1996-10-30,,,0.803,
1996-10-31,,,0.79,
1996-11-01,,,0.79,
1996-11-04,,,0.78,
1996-11-05,,,0.775,
