Date,US_jet_fuel,
1990-04-02,0.55,
1990-04-03,0.555,
1990-04-04,0.56,
1990-04-05,0.54,
1990-04-06,0.536,
1990-04-09,0.536,
1990-04-10,0.54,
1990-04-11,0.551,
1990-04-12,0.548,
1990-04-13,0.528,
1990-04-16,0.562,
1990-04-17,0.553,
1990-04-18,0.532,
1990-04-19,0.531,
1990-04-20,0.538,
1990-04-23,0.536,
1990-04-24,0.53,
1990-04-25,0.522,
1990-04-26,0.528,
1990-04-27,0.535,
1990-04-30,0.525,
1990-05-01,0.545,
1990-05-02,0.529,
1990-05-03,0.507,
1990-05-04,0.506,
1990-05-07,0.502,
1990-05-08,0.533,
1990-05-09,0.521,
1990-05-10,0.527,
1990-05-11,0.513,
1990-05-14,0.529,
1990-05-15,0.519,
1990-05-16,0.516,
1990-05-17,0.519,
1990-05-18,0.518,
1990-05-21,0.514,
1990-05-22,0.516,
1990-05-23,0.507,
1990-05-24,0.509,
1990-05-25,0.496,
1990-05-29,0.503,
1990-05-30,0.511,
1990-05-31,0.504,
1990-06-01,0.498,
1990-06-04,0.49,
1990-06-05,0.475,
1990-06-06,0.49,
1990-06-07,0.487,
1990-06-08,0.492,
1990-06-11,0.487,
1990-06-12,0.498,
1990-06-13,0.502,
1990-06-14,0.499,
1990-06-15,0.498,
1990-06-18,0.493,
1990-06-19,0.484,
1990-06-20,0.492,
1990-06-21,0.492,
1990-06-22,0.5,
1990-06-25,0.503,
1990-06-26,0.496,
1990-06-27,0.496,
1990-06-28,0.504,
1990-06-29,0.497,
1990-07-02,0.497,
1990-07-03,0.493,
1990-07-05,0.492,
1990-07-06,0.488,
1990-07-09,0.49,
1990-07-10,0.496,
1990-07-11,0.502,
1990-07-12,0.547,
1990-07-13,0.537,
1990-07-16,0.556,
1990-07-17,0.554,
1990-07-18,0.554,
1990-07-19,0.557,
1990-07-20,0.549,
1990-07-23,0.556,
1990-07-24,0.561,
1990-07-25,0.555,
1990-07-26,0.561,
1990-07-27,0.557,
1990-07-30,0.571,
1990-07-31,0.571,
1990-08-01,0.596,
1990-08-02,0.62,
1990-08-03,0.64,
1990-08-06,0.736,
1990-08-07,0.774,
1990-08-08,0.674,
1990-08-09,0.69,
1990-08-10,0.741,
1990-08-13,0.769,
1990-08-14,0.755,
1990-08-15,0.751,
1990-08-16,0.772,
1990-08-17,0.827,
1990-08-20,0.862,
1990-08-21,0.87,
1990-08-22,0.976,
1990-08-23,1.058,
1990-08-24,0.99,
1990-08-27,0.842,
1990-08-28,0.85,
1990-08-29,0.789,
1990-08-30,0.808,
1990-08-31,0.814,
1990-09-04,0.873,
1990-09-05,0.881,
1990-09-06,0.95,
1990-09-07,0.913,
1990-09-10,0.938,
1990-09-11,0.898,
1990-09-12,0.904,
1990-09-13,0.923,
1990-09-14,0.918,
1990-09-17,0.94,
1990-09-18,0.955,
1990-09-19,0.963,
1990-09-20,1.001,
1990-09-21,1.067,
1990-09-24,1.167,
1990-09-25,1.187,
1990-09-26,1.211,
1990-09-27,1.239,
1990-09-28,1.3,
1990-10-01,1.24,
1990-10-02,1.16,
1990-10-03,1.22,
1990-10-04,1.264,
1990-10-05,1.327,
1990-10-08,1.32,
1990-10-09,1.387,
1990-10-10,1.346,
1990-10-11,1.401,
1990-10-12,1.431,
1990-10-15,1.393,
1990-10-16,1.335,
1990-10-17,1.238,
1990-10-18,1.145,
1990-10-19,1.019,
1990-10-22,0.895,
1990-10-23,0.946,
1990-10-24,0.991,
1990-10-25,1.104,
1990-10-26,1.073,
1990-10-29,1.124,
1990-10-30,1.113,
1990-10-31,1.037,
1990-11-01,1.039,
1990-11-02,1.009,
1990-11-05,0.98,
1990-11-06,0.989,
1990-11-07,1.042,
1990-11-08,1.088,
1990-11-09,1.023,
1990-11-12,0.98,
1990-11-13,0.993,
1990-11-14,0.962,
1990-11-15,0.919,
1990-11-16,0.897,
1990-11-19,0.916,
1990-11-20,0.89,
1990-11-23,0.917,
1990-11-26,0.972,
1990-11-27,0.968,
1990-11-28,0.967,
1990-11-29,0.953,
1990-11-30,0.914,
1990-12-03,0.884,
1990-12-04,0.882,
1990-12-05,0.85,
1990-12-06,0.83,
1990-12-07,0.818,
1990-12-10,0.82,
1990-12-11,0.782,
1990-12-12,0.737,
1990-12-13,0.733,
1990-12-14,0.751,
1990-12-17,0.753,
1990-12-18,0.757,
1990-12-19,0.778,
1990-12-20,0.788,
1990-12-21,0.797,
1990-12-24,0.822,
1990-12-26,0.82,
1990-12-27,0.817,
1990-12-28,0.814,
1990-12-31,0.829,
1991-01-02,0.773,
1991-01-03,0.73,
1991-01-04,0.696,
1991-01-07,0.774,
1991-01-08,0.765,
1991-01-09,0.791,
1991-01-10,0.799,
1991-01-11,0.799,
1991-01-14,0.945,
1991-01-15,0.882,
1991-01-16,0.919,
1991-01-17,0.63,
1991-01-18,0.618,
1991-01-21,0.668,
1991-01-22,0.718,
1991-01-23,0.714,
1991-01-24,0.696,
1991-01-25,0.694,
1991-01-28,0.683,
1991-01-29,0.705,
1991-01-30,0.655,
1991-01-31,0.661,
1991-02-01,0.65,
1991-02-04,0.647,
1991-02-05,0.669,
1991-02-06,0.695,
1991-02-07,0.68,
1991-02-08,0.693,
1991-02-11,0.724,
1991-02-12,0.718,
1991-02-13,0.671,
1991-02-14,0.66,
1991-02-15,0.626,
1991-02-18,0.626,
1991-02-19,0.604,
1991-02-20,0.645,
1991-02-21,0.604,
1991-02-22,0.577,
1991-02-25,0.59,
1991-02-26,0.565,
1991-02-27,0.549,
1991-02-28,0.547,
1991-03-01,0.543,
1991-03-04,0.559,
1991-03-05,0.571,
1991-03-06,0.559,
1991-03-07,0.557,
1991-03-08,0.558,
1991-03-11,0.548,
1991-03-12,0.563,
1991-03-13,0.563,
1991-03-14,0.561,
1991-03-15,0.552,
1991-03-18,0.549,
1991-03-19,0.573,
1991-03-20,0.564,
1991-03-21,0.572,
1991-03-22,0.57,
1991-03-25,0.552,
1991-03-26,0.556,
1991-03-27,0.549,
1991-03-28,0.552,
1991-04-01,0.536,
1991-04-02,0.538,
1991-04-03,0.529,
1991-04-04,0.541,
1991-04-05,0.545,
1991-04-08,0.547,
1991-04-09,0.552,
1991-04-10,0.561,
1991-04-11,0.555,
1991-04-12,0.562,
1991-04-15,0.57,
1991-04-16,0.552,
1991-04-17,0.557,
1991-04-18,0.55,
1991-04-19,0.554,
1991-04-22,0.569,
1991-04-23,0.566,
1991-04-24,0.563,
1991-04-25,0.556,
1991-04-26,0.554,
1991-04-29,0.552,
1991-04-30,0.534,
1991-05-01,0.554,
1991-05-02,0.549,
1991-05-03,0.554,
1991-05-06,0.562,
1991-05-07,0.565,
1991-05-08,0.563,
1991-05-09,0.574,
1991-05-10,0.567,
1991-05-13,0.561,
1991-05-14,0.563,
1991-05-15,0.573,
1991-05-16,0.575,
1991-05-17,0.578,
1991-05-20,0.577,
1991-05-21,0.575,
1991-05-22,0.574,
1991-05-23,0.579,
1991-05-24,0.573,
1991-05-28,0.576,
1991-05-29,0.57,
1991-05-30,0.583,
1991-05-31,0.578,
1991-06-03,0.572,
1991-06-04,0.564,
1991-06-05,0.552,
1991-06-06,0.551,
1991-06-07,0.547,
1991-06-10,0.534,
1991-06-11,0.538,
1991-06-12,0.547,
1991-06-13,0.541,
1991-06-14,0.543,
1991-06-17,0.543,
1991-06-18,0.54,
1991-06-19,0.54,
1991-06-20,0.549,
1991-06-21,0.547,
1991-06-24,0.541,
1991-06-25,0.54,
1991-06-26,0.543,
1991-06-27,0.554,
1991-06-28,0.562,
1991-07-01,0.565,
1991-07-02,0.569,
1991-07-03,0.565,
1991-07-04,0.565,
1991-07-05,0.571,
1991-07-08,0.578,
1991-07-09,0.574,
1991-07-10,0.585,
1991-07-11,0.583,
1991-07-12,0.601,
1991-07-15,0.592,
1991-07-16,0.591,
1991-07-17,0.6,
1991-07-18,0.588,
1991-07-19,0.593,
1991-07-22,0.59,
1991-07-23,0.578,
1991-07-24,0.589,
1991-07-25,0.59,
1991-07-26,0.595,
1991-07-29,0.595,
1991-07-30,0.601,
1991-07-31,0.609,
1991-08-01,0.598,
1991-08-02,0.601,
1991-08-05,0.602,
1991-08-06,0.587,
1991-08-07,0.591,
1991-08-08,0.599,
1991-08-09,0.607,
1991-08-12,0.61,
1991-08-13,0.61,
1991-08-14,0.607,
1991-08-15,0.616,
1991-08-16,0.619,
1991-08-19,0.658,
1991-08-20,0.674,
1991-08-21,0.631,
1991-08-22,0.635,
1991-08-23,0.634,
1991-08-26,0.637,
1991-08-27,0.631,
1991-08-28,0.644,
1991-08-29,0.652,
1991-08-30,0.66,
1991-09-02,0.665,
1991-09-03,0.657,
1991-09-04,0.635,
1991-09-05,0.637,
1991-09-06,0.634,
1991-09-09,0.627,
1991-09-10,0.62,
1991-09-11,0.628,
1991-09-12,0.623,
1991-09-13,0.626,
1991-09-16,0.629,
1991-09-17,0.62,
1991-09-18,0.627,
1991-09-19,0.627,
1991-09-20,0.632,
1991-09-23,0.644,
1991-09-24,0.641,
1991-09-25,0.64,
1991-09-26,0.636,
1991-09-27,0.65,
1991-09-30,0.641,
1991-10-01,0.637,
1991-10-02,0.644,
1991-10-03,0.649,
1991-10-04,0.643,
1991-10-07,0.656,
1991-10-08,0.658,
1991-10-09,0.663,
1991-10-10,0.658,
1991-10-11,0.659,
1991-10-14,0.677,
1991-10-15,0.678,
1991-10-16,0.673,
1991-10-17,0.683,
1991-10-18,0.684,
1991-10-21,0.688,
1991-10-22,0.691,
1991-10-23,0.675,
1991-10-24,0.687,
1991-10-25,0.678,
1991-10-28,0.686,
1991-10-29,0.687,
1991-10-30,0.684,
1991-10-31,0.689,
1991-11-01,0.696,
1991-11-04,0.705,
1991-11-05,0.709,
1991-11-06,0.7,
1991-11-07,0.692,
1991-11-08,0.679,
1991-11-11,0.662,
1991-11-12,0.652,
1991-11-13,0.64,
1991-11-14,0.638,
1991-11-15,0.658,
1991-11-18,0.636,
1991-11-19,0.625,
1991-11-20,0.619,
