Date,TX_propane,
1992-07-09,0.324,
1992-07-10,0.328,
1992-07-13,0.329,
1992-07-14,0.334,
1992-07-15,0.334,
1992-07-16,0.341,
1992-07-17,0.341,
1992-07-20,0.34,
1992-07-21,0.341,
1992-07-22,0.344,
1992-07-23,0.344,
1992-07-24,0.344,
1992-07-27,0.345,
1992-07-28,0.353,
1992-07-29,0.359,
1992-07-30,0.36,
1992-07-31,0.358,
1992-08-03,0.366,
1992-08-04,0.354,
1992-08-05,0.353,
1992-08-06,0.354,
1992-08-07,0.353,
1992-08-10,0.353,
1992-08-11,0.35,
1992-08-12,0.349,
1992-08-13,0.346,
1992-08-14,0.348,
1992-08-17,0.349,
1992-08-18,0.351,
1992-08-19,0.351,
1992-08-20,0.351,
1992-08-21,0.354,
1992-08-24,0.356,
1992-08-25,0.356,
1992-08-26,0.354,
1992-08-27,0.358,
1992-08-28,0.358,
1992-08-31,0.364,
1992-09-01,0.366,
1992-09-02,0.366,
1992-09-03,0.366,
1992-09-04,0.37,
1992-09-08,0.376,
1992-09-09,0.379,
1992-09-10,0.379,
1992-09-11,0.378,
1992-09-14,0.381,
1992-09-15,0.381,
1992-09-16,0.379,
1992-09-17,0.38,
1992-09-18,0.376,
1992-09-21,0.371,
1992-09-22,0.375,
1992-09-23,0.376,
1992-09-24,0.376,
1992-09-25,0.374,
1992-09-28,0.376,
1992-09-29,0.366,
1992-09-30,0.371,
1992-10-01,0.374,
1992-10-02,0.371,
1992-10-05,0.368,
1992-10-06,0.361,
1992-10-07,0.364,
1992-10-08,0.364,
1992-10-09,0.364,
1992-10-12,0.361,
1992-10-13,0.349,
1992-10-14,0.351,
1992-10-15,0.359,
1992-10-16,0.361,
1992-10-19,0.364,
1992-10-20,0.361,
1992-10-21,0.354,
1992-10-22,0.35,
1992-10-23,0.339,
1992-10-26,0.334,
1992-10-27,0.334,
1992-10-28,0.334,
1992-10-29,0.339,
1992-10-30,0.339,
1992-11-02,0.344,
1992-11-03,0.346,
1992-11-04,0.339,
1992-11-05,0.343,
1992-11-06,0.339,
1992-11-09,0.336,
1992-11-10,0.334,
1992-11-11,0.329,
1992-11-12,0.319,
1992-11-13,0.319,
1992-11-16,0.324,
1992-11-17,0.326,
1992-11-18,0.319,
1992-11-19,0.32,
1992-11-20,0.323,
1992-11-23,0.316,
1992-11-24,0.316,
1992-11-25,0.316,
1992-11-30,0.304,
1992-12-01,0.295,
1992-12-02,0.3,
1992-12-03,0.298,
1992-12-04,0.305,
1992-12-07,0.295,
1992-12-08,0.296,
1992-12-09,0.294,
1992-12-10,0.304,
1992-12-11,0.306,
1992-12-14,0.301,
1992-12-15,0.301,
1992-12-16,0.303,
1992-12-17,0.311,
1992-12-18,0.318,
1992-12-21,0.326,
1992-12-22,0.325,
1992-12-23,0.338,
1992-12-24,0.338,
1992-12-28,0.338,
1992-12-29,0.324,
1992-12-30,0.326,
1992-12-31,0.33,
1993-01-04,0.316,
1993-01-05,0.318,
1993-01-06,0.325,
1993-01-07,0.348,
1993-01-08,0.358,
1993-01-11,0.383,
1993-01-12,0.358,
1993-01-13,0.348,
1993-01-14,0.349,
1993-01-15,0.343,
1993-01-18,0.343,
1993-01-19,0.324,
1993-01-20,0.326,
1993-01-21,0.329,
1993-01-22,0.329,
1993-01-25,0.33,
1993-01-26,0.329,
1993-01-27,0.328,
1993-01-28,0.331,
1993-01-29,0.33,
1993-02-01,0.328,
1993-02-02,0.323,
1993-02-03,0.32,
1993-02-04,0.323,
1993-02-05,0.324,
1993-02-08,0.323,
1993-02-09,0.326,
1993-02-10,0.329,
1993-02-11,0.328,
1993-02-12,0.329,
1993-02-16,0.326,
1993-02-17,0.325,
1993-02-18,0.324,
1993-02-19,0.329,
1993-02-22,0.339,
1993-02-23,0.344,
1993-02-24,0.345,
1993-02-25,0.348,
1993-02-26,0.335,
1993-03-01,0.334,
1993-03-02,0.33,
1993-03-03,0.326,
1993-03-04,0.329,
1993-03-05,0.335,
1993-03-08,0.33,
1993-03-09,0.33,
1993-03-10,0.333,
1993-03-11,0.336,
1993-03-12,0.34,
1993-03-15,0.34,
1993-03-16,0.346,
1993-03-17,0.349,
1993-03-18,0.349,
1993-03-19,0.35,
1993-03-22,0.349,
1993-03-23,0.349,
1993-03-24,0.351,
1993-03-25,0.351,
1993-03-26,0.353,
1993-03-29,0.354,
1993-03-30,0.354,
1993-03-31,0.344,
1993-04-01,0.344,
1993-04-02,0.341,
1993-04-05,0.346,
1993-04-06,0.349,
1993-04-07,0.349,
1993-04-08,0.349,
1993-04-12,0.349,
1993-04-13,0.349,
1993-04-14,0.35,
1993-04-15,0.35,
1993-04-16,0.346,
1993-04-19,0.346,
1993-04-20,0.343,
1993-04-21,0.341,
1993-04-22,0.336,
1993-04-23,0.339,
1993-04-26,0.339,
1993-04-27,0.339,
1993-04-29,0.335,
1993-04-30,0.334,
1993-05-03,0.333,
1993-05-04,0.334,
1993-05-05,0.334,
1993-05-06,0.331,
1993-05-07,0.328,
1993-05-10,0.328,
1993-05-11,0.328,
1993-05-12,0.326,
1993-05-13,0.321,
1993-05-14,0.321,
1993-05-17,0.324,
1993-05-18,0.328,
1993-05-19,0.331,
1993-05-20,0.331,
1993-05-21,0.331,
1993-05-24,0.331,
1993-05-25,0.326,
1993-05-26,0.324,
1993-05-27,0.326,
1993-05-28,0.324,
1993-06-01,0.324,
1993-06-02,0.324,
1993-06-03,0.323,
1993-06-04,0.321,
1993-06-07,0.323,
1993-06-08,0.326,
1993-06-09,0.331,
1993-06-10,0.329,
1993-06-11,0.329,
1993-06-14,0.331,
1993-06-15,0.329,
1993-06-16,0.33,
1993-06-17,0.331,
