,Date,Open,High,Low,Close,Volume,up/down,true_value
0,1980-01-02,-1.1573493066316995,-1.0644474518563551,-1.0651081275588632,-1.0660030406198908,-0.9609489657825305,1,-1
1,1980-01-03,-1.1573493066316995,-1.0668070556494458,-1.0671691809334811,-1.0665480676295502,-0.9556091992846295,1,1
2,1980-01-04,-1.1573493066316995,-1.0658029689289816,-1.0653111870046386,-1.065235965569259,-0.9617496602523273,1,1
3,1980-01-07,-1.1573493066316995,-1.0650800264902476,-1.0645903259721365,-1.0649432658788862,-0.9588444377504297,1,1
4,1980-01-08,-1.1573493066316995,-1.0635839372767562,-1.0640928303299875,-1.0627833440257912,-0.9540348608338806,1,1
5,1980-01-09,-1.1573493066316995,-1.061776581179921,-1.0619404002047705,-1.0626824130980765,-0.9476130747822002,1,1
6,1980-01-10,-1.1573493066316995,-1.0620075211256277,-1.061879482371038,-1.0618345933052729,-0.9526336455117363,1,1
7,1980-01-11,-1.1573493066316995,-1.0617062951094882,-1.0614530575349101,-1.0618043140269584,-0.9543053657223255,1,1
8,1980-01-14,-1.1573493066316995,-1.0614251508277583,-1.0609961737819162,-1.0613400317594708,-0.9542837253312498,1,1
9,1980-01-15,-1.1573493066316995,-1.0609331483347308,-1.0608844910867399,-1.0605729567088389,-0.9546137412951525,1,-1
10,1980-01-16,-1.1573493066316995,-1.0599591842158806,-1.0599402646638851,-1.0606637945437822,-0.9462930109265895,1,-1
11,1980-01-17,-1.1573493066316995,-1.0608528213970938,-1.0605189840843445,-1.0610170527907836,-0.9536128732079067,1,1
12,1980-01-18,-1.1573493066316995,-1.061123924811619,-1.060447913278323,-1.0606436083582393,-0.9574107618416722,1,1
13,1980-01-21,-1.1573493066316995,-1.0599591842158806,-1.0596559814398,-1.0596040198027779,-0.9569292631402403,1,-1
14,1980-01-22,-1.1573493066316995,-1.059758366871788,-1.0593920041602922,-1.0601995122762946,-0.955533457915865,1,1
15,1980-01-23,-1.1573493066316995,-1.0589249748938028,-1.0593818511880035,-1.0582515453714005,-0.9554739468404071,1,1
16,1980-01-24,-1.1573493066316995,-1.057579498688381,-1.0573309507856745,-1.0579891249593423,-0.9509619253011473,1,-1
17,1980-01-25,-1.1573493066316995,-1.0584028497991615,-1.0579299761507113,-1.0580799627942856,-0.9574378123305166,1,1
18,1980-01-28,-1.1573493066316995,-1.0571979457346046,-1.0573512567302519,-1.056828419290623,-0.953910428585196,1,-1
19,1980-01-29,-1.1573493066316995,-1.057077455328149,-1.0572497270073644,-1.0576156805267978,-0.9529041504001812,1,1
20,1980-01-30,-1.1573493066316995,-1.056997128390512,-1.0569045259495469,-1.0564751610436214,-0.9552359025385757,1,-1
21,1980-01-31,-1.1573493066316995,-1.0556717339194992,-1.0564882540857077,-1.0575248426918544,-0.9472668285249909,1,1
22,1980-02-01,-1.1573493066316995,-1.0573083952738558,-1.0571481972844767,-1.0565559057857934,-0.9577029071211925,1,-1
23,1980-02-04,-1.1573493066316995,-1.0568364745152377,-1.0564374892242638,-1.0573128877436537,-0.959618081731382,1,1
24,1980-02-05,-1.1573493066316995,-1.0575995804227902,-1.058143188568775,-1.0570201880532808,-0.9602618833658807,1,1
25,1980-02-06,-1.1573493066316995,-1.0562741859517777,-1.0566202427254614,-1.0559503202195049,-0.9548139149126017,1,1
26,1980-02-07,-1.1573493066316995,-1.0549688732151743,-1.0550262260761263,-1.0553851070243025,-0.951708518793255,1,1
27,1980-02-08,-1.1573493066316995,-1.0541756447060078,-1.0545185774616885,-1.0536995605314667,-0.9516165471311838,1,-1
28,1980-02-11,-1.1573493066316995,-1.053784050885027,-1.0539195520966518,-1.054537287231499,-0.951183739309672,1,1
29,1980-02-12,-1.1573493066316995,-1.0544266663861237,-1.0544881185448223,-1.053750025995324,-0.9569022126513959,1,1
30,1980-02-13,-1.1573493066316995,-1.0526092694220839,-1.0526402775882684,-1.0532049989856647,-0.9476293050755069,1,-1
31,1980-02-14,-1.1573493066316995,-1.053533029204911,-1.0541936823484483,-1.0549410109423578,-0.9555767386980162,1,-1
32,1980-02-15,-1.1573493066316995,-1.0561436546781173,-1.05614305302789,-1.0562632060954205,-0.9576650364368103,1,-1
33,1980-02-19,-1.1573493066316995,-1.0571778640001952,-1.0569248318941242,-1.05708074660991,-0.9615603068304159,1,1
34,1980-02-20,-1.1573493066316995,-1.0556616930522946,-1.0562039708616224,-1.0551933382616445,-0.9589309993147321,1,-1
35,1980-02-21,-1.1573493066316995,-1.0549387506135603,-1.0558181579146495,-1.0563944163014498,-0.9550411390188954,1,-1
36,1980-02-22,-1.1573493066316995,-1.0563846354910287,-1.0568436081158141,-1.0566366505279652,-0.9568372914781691,1,-1
37,1980-02-25,-1.1573493066316995,-1.0579208881733386,-1.0576659988712036,-1.0583625693918868,-0.9617442501545583,1,1
38,1980-02-26,-1.1573493066316995,-1.0580915829158177,-1.0579908939844438,-1.0577065183617411,-0.9612789817464332,1,-1
39,1980-02-27,-1.1573493066316995,-1.0577301116964506,-1.0583868599037052,-1.0593214132051765,-0.9578002888810327,1,-1
40,1980-02-28,-1.1573493066316995,-1.0591559148395095,-1.0589757322964535,-1.059351692483491,-0.9611004485200597,1,1
41,1980-02-29,-1.1573493066316995,-1.0587341984169145,-1.058529001515748,-1.058029497330428,-0.961922783380932,1,-1
42,1980-03-03,-1.1573493066316995,-1.0585132993384125,-1.0582853301808177,-1.059200296091919,-0.9619877045541587,1,1
43,1980-03-04,-1.1573493066316995,-1.059447099988444,-1.0594833809108912,-1.0589176894943177,-0.9589472296080388,1,-1
44,1980-03-05,-1.1573493066316995,-1.0589149340265982,-1.0597372052181102,-1.0605830498016104,-0.9562800514079728,1,-1
45,1980-03-06,-1.1573493066316995,-1.061575763835828,-1.0625089666529413,-1.0630861368089353,-0.9560798777905235,1,-1
46,1980-03-07,-1.1573493066316995,-1.0639152858945091,-1.06439741949865,-1.0648524280439429,-0.9553549246894913,1,-1
47,1980-03-10,-1.1573493066316995,-1.0650197812870197,-1.0654837875335472,-1.0652460586620303,-0.9592501950830971,1,1
48,1980-03-11,-1.1573493066316995,-1.0643370023171042,-1.0642045130251636,-1.0639642358800534,-0.9605486185476322,1,-1
49,1980-03-12,-1.1573493066316995,-1.0644775744579689,-1.0649761389191092,-1.0648827073222575,-0.9623664113979815,1,-1
50,1980-03-13,-1.1573493066316995,-1.0653310481703635,-1.0653010340323497,-1.0661443439186915,-0.9650281795002786,1,-1
51,1980-03-14,-1.1573493066316995,-1.0663953800940553,-1.0664077080118244,-1.0663361126813493,-0.9638866488710415,1,-1
52,1980-03-17,-1.1573493066316995,-1.0676605293618402,-1.0686312089430623,-1.0695356230899058,-0.9628911908815645,1,1
53,1980-03-18,-1.1573493066316995,-1.0681826544564814,-1.0693216110586978,-1.067678494019955,-0.9573079699840631,1,1
54,1980-03-19,-1.1573493066316995,-1.0671685268688127,-1.0670778041828823,-1.0674665390717542,-0.9631616957700093,1,-1
55,1980-03-20,-1.1573493066316995,-1.0677207745650679,-1.0679205008828492,-1.0686676171115594,-0.9652932742909546,1,-1
56,1980-03-21,-1.1573493066316995,-1.0691666594425362,-1.0689053391948589,-1.0694851576260485,-0.9654880378106349,1,1
57,1980-03-24,-1.1573493066316995,-1.0707229938592555,-1.0716161827959572,-1.0725433647358045,-0.9616955592746383,1,-1
58,1980-03-25,-1.1573493066316995,-1.0723295326119981,-1.0726213270525442,-1.0726342025707476,-0.9592285546920214,1,-1
59,1980-03-26,-1.1573493066316995,-1.071686917110901,-1.0724081146344804,-1.0731489503020926,-0.9627018374596531,1,-1
60,1980-03-27,-1.1573493066316995,-1.073333619332462,-1.0763373149102298,-1.0736132325695804,-0.9484678702296859,1,-1
61,1980-03-28,-1.1573493066316995,-1.0714760588996035,-1.072793927581453,-1.0711303317477983,-0.9576433960457347,1,1
62,1980-03-31,-1.1573493066316995,-1.0702510731006374,-1.0704587439550388,-1.069707205667021,-0.9635295824182943,1,1
63,1980-04-01,-1.1573493066316995,-1.069618498466745,-1.069616047255072,-1.0696163678320776,-0.965482627712866,1,1
64,1980-04-02,-1.1573493066316995,-1.069026087301671,-1.0690068689177463,-1.069111713193504,-0.9638704185777348,1,-1
65,1980-04-03,-1.1573493066316995,-1.0695582532635173,-1.069149010529789,-1.0696466471103918,-0.967787329362416,1,-1
66,1980-04-07,-1.1573493066316995,-1.0706326260544137,-1.0707531801514127,-1.0716248932936003,-0.967159758021224,1,1
67,1980-04-08,-1.1573493066316995,-1.0710242198753948,-1.0712608287658507,-1.0706054909236817,-0.9657693628946175,1,1
