,date,Open,High,Low,Close,Volume,up/down,Sentiment,true_value
0,1980-01-02,-1.1573493066316995,-1.0644474518563551,-1.0651081275588632,-1.0660030406198908,-0.9609489657825304,1,-0.632982321571886,-1
1,1980-01-03,-1.1573493066316995,-1.0668070556494458,-1.0671691809334811,-1.0665480676295502,-0.9556091992846296,1,-0.5479745382608282,1
3,1980-01-07,-1.1573493066316995,-1.0650800264902476,-1.0645903259721363,-1.0649432658788862,-0.9588444377504296,1,-0.7665636298684098,1
4,1980-01-08,-1.1573493066316995,-1.0635839372767562,-1.0640928303299877,-1.0627833440257912,-0.9540348608338806,1,-1.1397015468143428,1
5,1980-01-09,-1.1573493066316995,-1.061776581179921,-1.0619404002047703,-1.0626824130980763,-0.9476130747822002,1,-1.2674814800287606,1
6,1980-01-10,-1.1573493066316995,-1.0620075211256277,-1.0618794823710378,-1.0618345933052729,-0.9526336455117363,1,-1.181396884915726,1
7,1980-01-11,-1.1573493066316995,-1.0617062951094882,-1.06145305753491,-1.0618043140269584,-0.9543053657223256,1,-1.2937427590282065,1
8,1980-01-14,-1.1573493066316995,-1.0614251508277583,-1.0609961737819162,-1.0613400317594708,-0.9542837253312498,1,-0.9568852564453035,1
9,1980-01-15,-1.1573493066316995,-1.0609331483347308,-1.06088449108674,-1.0605729567088389,-0.9546137412951524,1,-0.9342741113335453,-1
10,1980-01-16,-1.1573493066316995,-1.0599591842158806,-1.0599402646638851,-1.0606637945437822,-0.9462930109265896,1,-0.7591404201673666,-1
11,1980-01-17,-1.1573493066316995,-1.0608528213970938,-1.0605189840843443,-1.0610170527907836,-0.9536128732079068,1,-0.7635625933189691,1
12,1980-01-18,-1.1573493066316995,-1.061123924811619,-1.0604479132783229,-1.0606436083582391,-0.9574107618416722,1,-0.8735419193062989,1
14,1980-01-22,-1.1573493066316995,-1.0597583668717878,-1.0593920041602922,-1.0601995122762946,-0.9555334579158651,1,-0.9765714475493001,1
16,1980-01-24,-1.1573493066316995,-1.057579498688381,-1.0573309507856743,-1.0579891249593425,-0.9509619253011472,1,-0.9788350723846183,-1
17,1980-01-25,-1.1573493066316995,-1.0584028497991615,-1.0579299761507113,-1.0580799627942856,-0.9574378123305166,1,-1.4035330645363309,1
19,1980-01-29,-1.1573493066316995,-1.057077455328149,-1.0572497270073644,-1.0576156805267978,-0.9529041504001812,1,-1.340645815195588,1
20,1980-01-30,-1.1573493066316995,-1.056997128390512,-1.0569045259495469,-1.0564751610436214,-0.9552359025385756,1,-1.4650173624680618,-1
21,1980-01-31,-1.1573493066316995,-1.0556717339194992,-1.0564882540857077,-1.0575248426918544,-0.9472668285249908,1,-1.5569008756368126,1
23,1980-02-04,-1.1573493066316995,-1.0568364745152377,-1.0564374892242638,-1.0573128877436535,-0.959618081731382,1,-1.4964785833914174,1
24,1980-02-05,-1.1573493066316995,-1.0575995804227902,-1.058143188568775,-1.0570201880532808,-0.9602618833658808,1,-1.549811070026469,1
25,1980-02-06,-1.1573493066316995,-1.0562741859517777,-1.0566202427254614,-1.0559503202195049,-0.9548139149126016,1,-1.7055988016214447,1
26,1980-02-07,-1.1573493066316995,-1.0549688732151743,-1.0550262260761265,-1.0553851070243023,-0.9517085187932549,1,-1.6759467729063535,1
27,1980-02-08,-1.1573493066316995,-1.0541756447060078,-1.0545185774616883,-1.0536995605314667,-0.9516165471311838,1,-1.6359537969981444,-1
29,1980-02-12,-1.1573493066316995,-1.0544266663861237,-1.0544881185448225,-1.053750025995324,-0.956902212651396,1,-1.577070024324995,1
30,1980-02-13,-1.1573493066316995,-1.052609269422084,-1.0526402775882684,-1.0532049989856649,-0.9476293050755068,1,-1.491276898631001,-1
31,1980-02-14,-1.1573493066316995,-1.0535330292049108,-1.0541936823484483,-1.0549410109423578,-0.9555767386980162,1,-1.5410431207216824,-1
32,1980-02-15,-1.1573493066316995,-1.056143654678117,-1.0561430530278901,-1.0562632060954205,-0.9576650364368104,1,-1.4993068819250388,-1
33,1980-02-19,-1.1573493066316995,-1.0571778640001952,-1.0569248318941242,-1.05708074660991,-0.961560306830416,1,-1.3479421176181778,1
34,1980-02-20,-1.1573493066316995,-1.0556616930522946,-1.0562039708616224,-1.0551933382616443,-0.958930999314732,1,-1.3254313588232343,-1
35,1980-02-21,-1.1573493066316995,-1.0549387506135603,-1.0558181579146495,-1.0563944163014498,-0.9550411390188954,1,-1.1581675338430635,-1
36,1980-02-22,-1.1573493066316995,-1.056384635491029,-1.056843608115814,-1.0566366505279652,-0.9568372914781692,1,-1.2934406460479937,-1
37,1980-02-25,-1.1573493066316995,-1.0579208881733386,-1.0576659988712036,-1.0583625693918868,-0.9617442501545584,1,-1.250625570134778,1
38,1980-02-26,-1.1573493066316995,-1.0580915829158175,-1.0579908939844438,-1.0577065183617411,-0.9612789817464332,1,-1.1940618859359342,-1
39,1980-02-27,-1.1573493066316995,-1.0577301116964506,-1.0583868599037052,-1.0593214132051765,-0.9578002888810327,1,-1.0641187994794166,-1
40,1980-02-28,-1.1573493066316995,-1.0591559148395095,-1.0589757322964537,-1.059351692483491,-0.9611004485200596,1,-1.0006531362797784,1
42,1980-03-03,-1.1573493066316995,-1.0585132993384123,-1.0582853301808175,-1.0592002960919191,-0.9619877045541588,1,-1.404258329692661,1
43,1980-03-04,-1.1573493066316995,-1.0594470999884442,-1.0594833809108912,-1.0589176894943175,-0.9589472296080388,1,-1.6428641170972036,-1
